데이터 시간,시리얼번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소 (ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
2024-03-20 13:14,V01T1623112,43,19,1006,125,26.5,18,47,82
2024-03-20 13:14,V01T1623109,43,19,2362,125,11.1,28,40,64
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-20 13:14,V01T1623105,20,10,489,136,18.8,15,33,93
2024-03-20 13:14,V01T1623102,1,1,628,145,25.8,11,41,92
2024-03-20 12:59,V01T1623100,48,21,1293,127,24,26,54,81
2024-03-20 13:14,ICW0W2000512,27,11,448,97,31.8,14,59,82
2024-03-20 13:14,ICW0W2000507,8,4,717,387,26.2,22,51,90
2024-03-20 13:14,ICW0W2000505,7,2,510,227,25.5,18,58,90
2024-03-20 13:14,ICW0W2000503,17,6,694,108,14.2,30,57,89
2024-03-20 13:14,ICW0W2000501,9,3,427,46,21.3,22,67,99
2024-03-20 13:14,ICW0W2000500,10,6,2500,564,30.4,16,61,63
2024-03-20 13:14,ICW0W2000459,12,5,708,16,24.4,19,61,91
2024-03-20 13:14,ICW0W2000455,13,5,139,56,19.7,27,62,100
2024-03-20 13:13,ICW0W2000447,6,2,386,82,20.7,22,52,99
2024-03-20 13:14,ICW0W2000398,18,6,517,3036,24.4,18,62,68
2024-03-20 13:14,ICW0W2000388,26,10,478,9,11.9,23,58,87
2024-03-20 13:14,ICW0W2000382,3,1,500,14,23.3,24,64,100
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
2024-03-20 13:14,ICW0W2000380,20,7,426,466,16.1,26,52,86
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-20 13:14,ICW0W2000287,10,3,700,64,24.1,21,51,94
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-03-20 13:14,ICW0W2000275,13,5,716,80,16,31,50,93
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-20 13:14,ICW0W2000262,19,6,497,14,20.3,25,55,98
2024-03-20 13:14,ICW0W2000248,8,2,1774,105,26.3,20,66,77
2024-03-20 13:13,ICW0W2100481,8,3,1247,2434,22.2,31,63,74
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-20 13:13,ICW0W2100582,20,8,621,101,22.1,19,64,92
2024-03-20 13:13,ICW0W2100579,13,5,0,114,26.3,11,61,94
2024-03-20 13:14,ICW0W2100562,21,12,556,247,23.3,12,58,90
2024-03-20 13:13,ICW0W2100560,14,5,477,6000,23.8,15,58,65
2024-03-20 16:59,ICW0W2100488,23,8,494,159,23.2,15,72,92
2024-03-20 16:59,ICW0W2100506,16,6,877,37,28.8,13,65,86
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-20 16:59,ICW0W2100582,26,10,629,1444,22.5,20,60,76
2024-03-20 16:59,ICW0W2100579,10,4,0,700,26.8,11,64,82
2024-03-20 17:00,ICW0W2100562,22,12,615,869,22.9,15,59,77
2024-03-20 16:59,ICW0W2100560,23,9,452,5809,22,15,58,65
2024-03-20 16:59,ICW0W2100549,26,9,847,134,18.4,24,69,93
2024-03-20 16:59,ICW0W2100509,12,5,179,6000,23.1,21,70,70
2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
